time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010456550000	-5.29489	0.472401	5.39505	4.29366	-0.0645282	radar	7.10119	-4.84736	0.18101	-5.16621	0.536876	-2.08471	-4.73127
1477010456650000	-5.47238	-0.0979378	5.58076	4.36695	0.188802	radar	5.0122	-5.99809	-0.290765	-5.3782	0.0654719	-2.15477	-4.69374
1477010456750000	-5.6634	-0.315562	3.01279	3.75598	-1.95493	radar	2.49595	-5.64447	-0.144522	-5.59748	-0.401971	-2.23014	-4.65185
1477010456850000	-5.89869	-0.717326	4.13085	3.93892	-0.990108	radar	5.26205	-5.30947	-0.724468	-5.82456	-0.865006	-2.31058	-4.60536
1477010456950000	-6.11036	-1.33394	4.90305	4.2107	-0.2173	radar	7.3991	-5.68069	-1.52871	-6.05993	-1.32316	-2.39581	-4.55404
1477010457050000	-6.41268	-1.68646	4.85336	4.0729	-0.468963	radar	4.62025	-6.11355	-1.75966	-6.30406	-1.77593	-2.48555	-4.49762
1477010457150000	-6.71249	-2.08073	4.84375	4.03537	-0.443063	radar	1.21402	-6.99344	-2.17445	-6.55738	-2.22281	-2.57946	-4.43585
1477010457250000	-7.01151	-2.51538	4.92444	4.02033	-0.410214	radar	0.739937	-7.14408	-2.67584	-6.82029	-2.66323	-2.6772	-4.36847
1477010457350000	-7.24971	-3.01754	4.99939	4.06438	-0.286344	radar	1.91988	-7.13937	-3.22028	-7.09316	-3.09663	-2.7784	-4.29523
1477010457450000	-7.50598	-3.57845	5.13838	4.11026	-0.192533	radar	5.19685	-7.77186	-4.08999	-7.37632	-3.5224	-2.88265	-4.21586
1477010457550000	-7.7809	-3.99668	5.14754	4.0918	-0.203428	radar	1.04101	-7.52393	-3.88213	-7.67004	-3.93992	-2.98953	-4.13012
1477010457650000	-8.06404	-4.45265	5.17741	4.0902	-0.179422	radar	0.256864	-8.08524	-4.57834	-7.97457	-4.34854	-3.09857	-4.03778
1477010457750000	-8.33892	-4.88068	5.11149	4.10352	-0.100931	radar	1.56939	-8.453	-4.95621	-8.2901	-4.74759	-3.2093	-3.93862
1477010457850000	-8.65188	-5.18712	4.98066	4.06653	-0.111933	radar	2.91925	-8.55062	-4.79248	-8.61678	-5.13637	-3.32121	-3.83242
1477010457950000	-8.95797	-5.59779	5.00473	4.05646	-0.113576	radar	0.211514	-9.04115	-5.69364	-8.95469	-5.51417	-3.43377	-3.71901
