time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010449000000	19.2643	16.4138	4.68172	2.12003	0.601836	lidar	1.43243	19.238	16.2719	19.2148	16.4679	-2.27586	4.22731
1477010449100000	19.0089	16.8146	4.69878	2.17719	0.59643	lidar	0.0393342	19.0029	16.8387	18.9757	16.8841	-2.50418	4.0953
1477010449200000	18.6964	17.2461	4.81183	2.23832	0.594148	lidar	1.5945	18.6148	17.3832	18.7142	17.2866	-2.72534	3.95127
1477010449300000	18.2655	17.569	4.87015	2.38249	0.724823	lidar	2.12283	18.1023	17.5529	18.4309	17.674	-2.93858	3.79568
1477010449400000	18.038	17.9733	4.83019	2.34973	0.561666	lidar	2.84669	18.2094	18.0461	18.1268	18.0453	-3.14318	3.62906
1477010449500000	17.7654	18.2923	4.72564	2.37494	0.517598	lidar	1.5653	17.9018	18.2183	17.8026	18.3994	-3.3385	3.45199
1477010449600000	17.4138	18.642	4.771	2.41412	0.496366	lidar	0.303744	17.3845	18.7039	17.4595	18.7353	-3.5239	3.26509
1477010449700000	17.093	18.936	4.70325	2.4506	0.477852	lidar	0.599113	17.1762	18.8863	17.0983	19.0521	-3.69883	3.06904
1477010449800000	16.6538	19.1451	4.70552	2.56958	0.589098	lidar	1.26042	16.5734	19.052	16.7201	19.3488	-3.86278	2.86455
1477010449900000	16.2655	19.4768	4.78206	2.57615	0.504402	lidar	1.46266	16.2338	19.6171	16.3262	19.6246	-4.01531	2.65237
1477010450000000	15.8934	19.7877	4.79599	2.57681	0.425943	lidar	0.63789	15.9243	19.8703	15.9176	19.8789	-4.15602	2.43329
1477010450100000	15.4794	20.0918	4.85811	2.58991	0.378009	lidar	0.714635	15.4332	20.1836	15.4956	20.111	-4.28461	2.2081
1477010450200000	15.1192	20.3912	4.8245	2.57771	0.300471	lidar	0.720721	15.2016	20.4385	15.0613	20.3203	-4.4008	1.97763
1477010450300000	14.6921	20.6243	4.8348	2.62355	0.325029	lidar	0.0716432	14.6665	20.6088	14.6161	20.5063	-4.50443	1.74272
1477010450400000	14.1747	20.7268	4.86497	2.76069	0.488457	lidar	2.7612	14.0521	20.5924	14.1611	20.6686	-4.59537	1.50421
1477010450500000	13.6255	20.8033	4.94068	2.89189	0.615393	lidar	2.34912	13.4686	20.7253	13.6977	20.807	-4.67357	1.26294
1477010450600000	13.1285	20.8716	4.94387	2.98095	0.658549	lidar	0.187428	13.1072	20.8294	13.2271	20.9211	-4.73904	1.01975
1477010450700000	12.717	21.0027	4.84989	2.98983	0.573752	lidar	1.9237	12.8729	21.0592	12.7506	21.0108	-4.79186	0.775469
1477010450800000	12.2304	21.0829	4.87047	3.03488	0.553388	lidar	0.0921986	12.2062	21.11	12.2695	21.0761	-4.83219	0.530912
1477010450900000	11.7201	20.9998	4.88395	3.17143	0.680764	lidar	1.64516	11.6814	20.8651	11.785	21.117	-4.86022	0.286869
1477010451000000	11.2738	21.0176	4.82325	3.20543	0.629947	lidar	0.735269	11.363	21.0688	11.2982	21.1335	-4.87623	0.0441057
1477010451100000	10.8232	20.9511	4.77622	3.2816	0.652859	lidar	0.329108	10.8903	20.927	10.8105	21.1259	-4.88053	-0.196643
1477010451200000	10.3039	21.0292	4.84546	3.24012	0.481607	lidar	3.56192	10.189	21.209	10.3229	21.0943	-4.87349	-0.434674
1477010451300000	9.87511	20.9724	4.75932	3.28908	0.485748	lidar	0.9242	9.99634	20.9797	9.83658	21.0391	-4.85554	-0.669327
1477010451400000	9.44708	20.882	4.69523	3.34648	0.501484	lidar	0.539051	9.53921	20.8762	9.35258	20.9607	-4.82714	-0.899977
1477010451500000	8.9058	20.8041	4.83391	3.36939	0.454646	lidar	2.63722	8.70331	20.8221	8.87192	20.8594	-4.78881	-1.12605
1477010451600000	8.38156	20.5984	4.96299	3.46388	0.527955	lidar	2.55405	8.22277	20.4839	8.39557	20.7358	-4.74108	-1.34701
1477010451700000	7.9071	20.4404	4.97544	3.50814	0.51409	lidar	0.038252	7.88599	20.45	7.92445	20.5903	-4.68453	-1.56237
1477010451800000	7.35958	20.3299	5.08101	3.49313	0.405682	lidar	2.535	7.18029	20.392	7.45939	20.4237	-4.61975	-1.7717
1477010451900000	6.86356	20.1686	5.10855	3.51483	0.375099	lidar	0.186932	6.81542	20.1859	7.00119	20.2364	-4.54738	-1.97462
