time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010447700000	20.1732	10.3561	4.80279	1.32548	0.461249	lidar	0.775996	20.166	10.4687	20.0818	10.3863	0.968259	4.75666
1477010447750000	20.1848	10.597	4.78764	1.38311	0.530884	radar	2.61063	19.6775	10.803	20.1271	10.6247	0.845742	4.77652
1477010447800000	20.2429	10.8652	4.83681	1.40829	0.52703	lidar	1.98034	20.371	11.0109	20.1663	10.864	0.722256	4.7934
1477010447850000	20.2733	11.1208	4.86462	1.43227	0.509313	radar	4.91697	19.4335	12.3402	20.1993	11.1041	0.597892	4.80727
1477010447900000	20.3073	11.3576	4.85951	1.45551	0.506763	lidar	0.010768	20.3164	11.3483	20.2261	11.3449	0.472738	4.81807
1477010447950000	20.2463	11.6117	4.84412	1.54986	0.648877	radar	9.60034	19.2063	12.2418	20.2466	11.5861	0.346889	4.82575
1477010448000000	20.3188	11.8484	4.84309	1.55057	0.609114	lidar	5.18316	20.6141	11.9422	20.2608	11.8275	0.220439	4.83027
1477010448050000	20.3504	12.0815	4.84657	1.53863	0.503468	radar	4.21984	19.966	11.9688	20.2687	12.0692	0.093487	4.83159
1477010448100000	20.3375	12.3646	4.90448	1.57484	0.513842	lidar	1.03041	20.3263	12.4966	20.2701	12.3108	-0.0338694	4.82968
1477010448150000	20.2844	12.605	4.88693	1.64336	0.609778	radar	2.73089	20.0192	12.4823	20.2652	12.5522	-0.161529	4.82451
1477010448200000	20.3099	12.8428	4.87661	1.65349	0.585285	lidar	2.06426	20.498	12.8924	20.254	12.7933	-0.28939	4.81605
1477010448250000	20.2981	13.0756	4.86151	1.67774	0.580934	radar	2.11867	20.9151	12.2555	20.2363	13.0339	-0.417348	4.80428
1477010448300000	20.2619	13.289	4.82301	1.70874	0.585404	lidar	1.01249	20.1943	13.1688	20.2122	13.2738	-0.545298	4.78918
1477010448350000	20.2243	13.5248	4.82289	1.72977	0.558599	radar	1.35569	19.858	13.5236	20.1818	13.5129	-0.673135	4.77072
1477010448400000	20.2052	13.7811	4.84543	1.74843	0.546118	lidar	1.36716	20.3245	13.8896	20.1449	13.7509	-0.800753	4.74892
1477010448450000	20.1486	14.0096	4.83288	1.78696	0.573721	radar	0.774591	20.3387	13.5307	20.1017	13.9878	-0.928043	4.72374
1477010448500000	20.094	14.2625	4.85816	1.81504	0.57173	lidar	0.340712	20.1216	14.337	20.0521	14.2233	-1.0549	4.69521
1477010448550000	20.0223	14.4923	4.85504	1.84445	0.566385	radar	1.35815	19.6717	14.4038	19.9962	14.4573	-1.18121	4.66331
1477010448600000	19.9142	14.7443	4.89594	1.8879	0.582713	lidar	1.08233	19.781	14.773	19.934	14.6897	-1.30687	4.62805
1477010448650000	19.8486	14.9639	4.87607	1.89849	0.534344	radar	3.42006	20.1149	14.0165	19.8655	14.9202	-1.43177	4.58944
1477010448700000	19.8201	15.1825	4.83912	1.9049	0.511829	lidar	2.27692	20.0208	15.2053	19.7908	15.1486	-1.55581	4.54751
1477010448750000	19.6841	15.3912	4.82805	1.99926	0.687868	radar	7.43981	20.0157	15.3443	19.7099	15.3749	-1.67887	4.50226
1477010448800000	19.6535	15.5805	4.75359	2.00742	0.659797	lidar	3.90675	19.9131	15.554	19.6229	15.5989	-1.80085	4.45372
1477010448850000	19.5611	15.7874	4.73856	2.02911	0.631824	radar	1.47604	19.9388	15.0864	19.5298	15.8203	-1.92164	4.40193
1477010448900000	19.457	15.9993	4.73812	2.059	0.62981	lidar	0.022913	19.4748	16.0098	19.4307	16.039	-2.04114	4.3469
1477010448950000	19.3571	16.2094	4.73306	2.06588	0.562627	radar	1.9818	19.1556	16.0022	19.3257	16.2549	-2.15925	4.28868
1477010449000000	19.2478	16.387	4.69108	2.09579	0.566884	lidar	0.738795	19.238	16.2719	19.2148	16.4679	-2.27586	4.22731
1477010449050000	19.1295	16.5844	4.68497	2.12535	0.57151	radar	0.283722	19.4007	16.2962	19.0981	16.6777	-2.39087	4.16284
1477010449100000	19.0006	16.793	4.70175	2.15308	0.569701	lidar	0.116164	19.0029	16.8387	18.9757	16.8841	-2.50418	4.0953
1477010449150000	18.8428	16.9831	4.71722	2.22328	0.682886	radar	6.15754	18.8373	17.7112	18.8477	17.0872	-2.61571	4.02476
1477010449200000	18.6697	17.2144	4.79593	2.25834	0.680189	lidar	1.81444	18.6148	17.3832	18.7142	17.2866	-2.72534	3.95127
1477010449250000	18.5697	17.4228	4.77348	2.22368	0.509153	radar	6.27418	18.8177	17.0316	18.5752	17.4822	-2.83299	3.87489
1477010449300000	18.3583	17.6129	4.8276	2.27014	0.531124	lidar	3.79513	18.1023	17.5529	18.4309	17.674	-2.93858	3.79568
1477010449350000	18.2212	17.8061	4.81995	2.26597	0.450761	radar	1.88775	18.2749	17.4877	18.2814	17.8617	-3.042	3.71372
1477010449400000	18.0925	17.9943	4.80263	2.27847	0.439803	lidar	0.881598	18.2094	18.0461	18.1268	18.0453	-3.14318	3.62906
1477010449450000	17.9149	18.1467	4.78831	2.33138	0.51459	radar	2.41008	18.3021	17.498	17.9671	18.2246	-3.24204	3.5418
1477010449500000	17.7843	18.2916	4.72498	2.35177	0.510646	lidar	1.12901	17.9018	18.2183	17.8026	18.3994	-3.3385	3.45199
1477010449550000	17.6501	18.4734	4.71081	2.35744	0.47672	radar	6.49446	18.8558	18.1364	17.6334	18.5697	-3.43247	3.35973
1477010449600000	17.4584	18.6548	4.75197	2.38402	0.478497	lidar	0.463187	17.3845	18.7039	17.4595	18.7353	-3.5239	3.26509
1477010449650000	17.2762	18.7949	4.7383	2.42528	0.519461	radar	1.92098	17.7945	18.0801	17.281	18.8962	-3.61271	3.16817
1477010449700000	17.1152	18.9325	4.70219	2.44963	0.518785	lidar	0.344892	17.1762	18.8863	17.0983	19.0521	-3.69883	3.06904
1477010449750000	16.9478	19.103	4.70972	2.46039	0.491226	radar	2.92998	16.9398	19.7311	16.9113	19.203	-3.78221	2.9678
1477010449800000	16.7315	19.2183	4.71042	2.5022	0.511578	lidar	2.78891	16.5734	19.052	16.7201	19.3488	-3.86278	2.86455
1477010449850000	16.5413	19.3708	4.7268	2.52881	0.523286	radar	3.24035	16.1674	20.2201	16.5251	19.4894	-3.9405	2.75938
1477010449900000	16.318	19.5308	4.78399	2.55447	0.520521	lidar	0.853655	16.2338	19.6171	16.3262	19.6246	-4.01531	2.65237
1477010449950000	16.0945	19.6127	4.76661	2.61199	0.581315	radar	10.0981	16.4366	18.2742	16.1237	19.7545	-4.08716	2.54364
1477010450000000	15.8892	19.7558	4.78869	2.63259	0.570477	lidar	0.771782	15.9243	19.8703	15.9176	19.8789	-4.15602	2.43329
1477010450050000	15.7006	19.8825	4.76401	2.6291	0.48637	radar	3.1788	16.2328	19.2166	15.7082	19.9978	-4.22185	2.32141
1477010450100000	15.4717	20.0356	4.82215	2.64518	0.474193	lidar	1.32955	15.4332	20.1836	15.4956	20.111	-4.28461	2.2081
1477010450150000	15.2603	20.1772	4.8443	2.65528	0.450181	radar	5.58292	14.3677	21.3406	15.2799	20.2185	-4.34427	2.09347
1477010450200000	15.072	20.3108	4.83168	2.6647	0.43532	lidar	1.75735	15.2016	20.4385	15.0613	20.3203	-4.4008	1.97763
1477010450250000	14.8413	20.3914	4.83051	2.70799	0.47958	radar	2.28409	14.7476	19.9571	14.84	20.4162	-4.4542	1.86068
1477010450300000	14.6259	20.5112	4.84164	2.72392	0.469849	lidar	0.596625	14.6665	20.6088	14.6161	20.5063	-4.50443	1.74272
1477010450350000	14.3897	20.5967	4.85741	2.76586	0.517125	radar	1.32564	13.841	21.0031	14.3897	20.5904	-4.55149	1.62386
1477010450400000	14.1429	20.67	4.87284	2.79964	0.525914	lidar	0.758992	14.0521	20.5924	14.1611	20.6686	-4.59537	1.50421
1477010450450000	13.9068	20.7407	4.87962	2.83822	0.558173	radar	0.295264	13.8232	20.859	13.9304	20.7408	-4.63606	1.38386
1477010450500000	13.6328	20.8025	4.9263	2.87503	0.566932	lidar	1.78386	13.4686	20.7253	13.6977	20.807	-4.67357	1.26294
1477010450550000	13.3866	20.8319	4.92882	2.93488	0.643487	radar	1.9252	13.8263	20.4261	13.4632	20.8671	-4.70789	1.14153
1477010450600000	13.1389	20.8708	4.9319	2.9707	0.647653	lidar	0.143409	13.1072	20.8294	13.2271	20.9211	-4.73904	1.01975
1477010450650000	12.9087	20.9307	4.92158	2.98733	0.616802	radar	1.90786	13.2669	21.1579	12.9895	20.969	-4.76702	0.897694
1477010450700000	12.7059	20.9738	4.87152	3.01093	0.61076	lidar	1.89914	12.8729	21.0592	12.7506	21.0108	-4.79186	0.775469
1477010450750000	12.4551	21.0151	4.89013	3.03637	0.602375	radar	2.59161	11.5171	21.6724	12.5106	21.0465	-4.81358	0.653175
1477010450800000	12.2073	21.0516	4.90324	3.06109	0.595187	lidar	0.189202	12.2062	21.11	12.2695	21.0761	-4.83219	0.530912
1477010450850000	11.9699	21.0716	4.89749	3.09139	0.601377	radar	0.892473	12.3859	21.1066	12.0276	21.0996	-4.84773	0.408778
1477010450900000	11.7261	21.0405	4.88074	3.13744	0.621534	lidar	1.76515	11.6814	20.8651	11.785	21.117	-4.86022	0.286869
1477010450950000	11.4805	21.0274	4.87735	3.17076	0.620034	radar	1.04877	11.5265	20.6748	11.5418	21.1283	-4.86971	0.165281
1477010451000000	11.2625	21.0205	4.84288	3.19982	0.61941	lidar	0.674561	11.363	21.0688	11.2982	21.1335	-4.87623	0.0441057
1477010451050000	11.01	20.9819	4.85115	3.238	0.624551	radar	4.07215	10.5558	20.5567	11.0544	21.1327	-4.87982	-0.076565
1477010451100000	10.798	20.9431	4.80766	3.27459	0.633387	lidar	0.51666	10.8903	20.927	10.8105	21.1259	-4.88053	-0.196643
1477010451150000	10.5472	20.9466	4.80451	3.26672	0.537813	radar	5.76767	9.30535	21.3896	10.5666	21.1131	-4.8784	-0.31604
1477010451200000	10.2658	20.978	4.87685	3.26419	0.497374	lidar	3.44399	10.189	21.209	10.3229	21.0943	-4.87349	-0.434674
1477010451250000	10.0258	20.9597	4.87628	3.28241	0.488102	radar	0.992976	9.97958	21.2932	10.0795	21.0697	-4.86585	-0.552463
1477010451300000	9.83082	20.9221	4.81112	3.30972	0.494317	lidar	1.7	9.99634	20.9797	9.83658	21.0391	-4.85554	-0.669327
1477010451350000	9.59134	20.9172	4.79462	3.29816	0.410124	radar	1.79892	9.38223	21.111	9.59422	21.0028	-4.84262	-0.785189
1477010451400000	9.39834	20.867	4.73262	3.32629	0.421609	lidar	1.15159	9.53921	20.8762	9.35258	20.9607	-4.82714	-0.899977
1477010451450000	9.17539	20.8244	4.72595	3.35188	0.43767	radar	1.55946	9.63392	20.9724	9.11177	20.9128	-4.80919	-1.01362
1477010451500000	8.8851	20.7956	4.81144	3.35881	0.416791	lidar	2.0117	8.70331	20.8221	8.87192	20.8594	-4.78881	-1.12605
1477010451550000	8.66966	20.7139	4.79269	3.39958	0.454643	radar	4.65473	9.84634	20.009	8.63315	20.8003	-4.76608	-1.2372
1477010451600000	8.39626	20.6308	4.85435	3.4262	0.45777	lidar	2.75369	8.22277	20.4839	8.39557	20.7358	-4.74108	-1.34701
1477010451650000	8.16734	20.5493	4.85862	3.46002	0.483116	radar	0.188117	8.29647	20.4978	8.1593	20.6657	-4.71387	-1.45542
1477010451700000	7.92632	20.4697	4.87498	3.48318	0.481386	lidar	0.111049	7.88599	20.45	7.92445	20.5903	-4.68453	-1.56237
1477010451750000	7.71113	20.3816	4.87447	3.52354	0.527361	radar	3.56488	8.29081	20.6565	7.69111	20.5096	-4.65313	-1.66781
1477010451800000	7.40448	20.3248	4.98316	3.52235	0.489275	lidar	3.36082	7.18029	20.392	7.45939	20.4237	-4.61975	-1.7717
1477010451850000	7.17228	20.2281	4.98347	3.54471	0.481946	radar	0.214893	7.09214	20.1196	7.22939	20.3326	-4.58448	-1.87399
1477010451900000	6.90852	20.1461	5.02939	3.55525	0.463408	lidar	0.636833	6.81542	20.1859	7.00119	20.2364	-4.54738	-1.97462
1477010451950000	6.682	20.0548	5.01783	3.57008	0.445935	radar	0.435926	6.89359	20.1536	6.7749	20.1352	-4.50854	-2.07357
1477010452000000	6.43444	19.9641	5.04203	3.58214	0.432355	lidar	0.276776	6.38914	20.0137	6.55059	20.0292	-4.46805	-2.17079
1477010452050000	6.2168	19.8702	5.02697	3.60061	0.431904	radar	2.81251	6.67637	20.2142	6.32834	19.9183	-4.42598	-2.26625
